seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,12,2020/11/08,13:30:00,3415336,1,R Antwerp FC,16,Standard Luik,1,1
2020,12,2020/11/08,16:00:00,3415340,31,KV Oostende,3,Club Brugge,1,3
2020,12,2020/11/08,18:15:00,3415343,7,KAA Gent,35,RSC Anderlecht,1,1
2020,12,2020/11/08,20:45:00,3415335,12,Cercle Brugge,2159,SV Zulte Waregem,1,3
2020,12,2020/12/08,17:00:00,3415341,2495,Oud-Heverlee Leuven,216,Royal Excel Moeskroen (-2022),2,0
2020,13,2020/11/21,16:15:00,3415349,16,Standard Luik,1792,KAS Eupen,2,2
2020,13,2020/11/21,18:30:00,3415347,31,KV Oostende,1,R Antwerp FC,1,1
2020,13,2020/11/21,18:30:00,3415351,1669,KVRS Waasland - SK Beveren,12,Cercle Brugge,0,2
2020,13,2020/11/21,20:45:00,3415345,3,Club Brugge,19,KV Kortrijk,1,0
2020,13,2020/11/22,13:30:00,3415344,13,Beerschot V.A.,35,RSC Anderlecht,2,1
2020,13,2020/11/22,16:00:00,3415350,2159,SV Zulte Waregem,25,KV Mechelen,1,2
2020,13,2020/11/22,18:15:00,3415352,29,R Charleroi SC,7,KAA Gent,0,1
2020,13,2020/11/22,20:45:00,3415346,290,KRC Genk,216,Royal Excel Moeskroen (-2022),4,1
2020,13,2020/11/23,20:45:00,3415348,2495,Oud-Heverlee Leuven,322,Sint-Truidense VV,2,2
2020,14,2020/11/27,20:45:00,3415355,1792,KAS Eupen,29,R Charleroi SC,3,1
2020,14,2020/11/28,16:15:00,3415360,322,Sint-Truidense VV,1669,KVRS Waasland - SK Beveren,1,1
2020,14,2020/11/28,18:30:00,3490615,12,Cercle Brugge,290,KRC Genk,1,5
2020,14,2020/11/28,20:45:00,3415358,216,Royal Excel Moeskroen (-2022),3,Club Brugge,0,0
2020,14,2020/11/29,13:30:00,3415357,25,KV Mechelen,13,Beerschot V.A.,2,3
2020,14,2020/11/29,16:00:00,3415354,7,KAA Gent,2159,SV Zulte Waregem,0,3
2020,14,2020/11/29,18:15:00,3415359,35,RSC Anderlecht,16,Standard Luik,0,0
2020,14,2020/11/29,20:45:00,3415356,19,KV Kortrijk,31,KV Oostende,3,1
2020,14,2020/11/30,20:45:00,3415353,1,R Antwerp FC,2495,Oud-Heverlee Leuven,3,2
2020,15,2020/12/04,20:45:00,3415368,2159,SV Zulte Waregem,35,RSC Anderlecht,2,2
2020,15,2020/12/05,16:15:00,3415369,1669,KVRS Waasland - SK Beveren,216,Royal Excel Moeskroen (-2022),2,0
2020,15,2020/12/05,18:30:00,3415365,2495,Oud-Heverlee Leuven,12,Cercle Brugge,2,1
2020,15,2020/12/05,20:45:00,3415362,3,Club Brugge,322,Sint-Truidense VV,1,0
2020,15,2020/12/06,13:30:00,3415363,290,KRC Genk,1,R Antwerp FC,4,2
2020,15,2020/12/06,16:00:00,3415370,13,Beerschot V.A.,1792,KAS Eupen,0,1
2020,15,2020/12/06,18:15:00,3415367,16,Standard Luik,25,KV Mechelen,2,2
2020,15,2020/12/06,20:45:00,3415364,31,KV Oostende,7,KAA Gent,2,1
2020,15,2020/12/07,20:45:00,3415366,29,R Charleroi SC,19,KV Kortrijk,0,0
2020,16,2020/12/11,20:45:00,3415378,35,RSC Anderlecht,290,KRC Genk,1,0
2020,16,2020/12/12,16:15:00,3415377,216,Royal Excel Moeskroen (-2022),13,Beerschot V.A.,3,1
2020,16,2020/12/12,18:30:00,3415371,12,Cercle Brugge,31,KV Oostende,0,1
2020,16,2020/12/12,18:30:00,3415375,19,KV Kortrijk,2495,Oud-Heverlee Leuven,0,3
2020,16,2020/12/12,20:45:00,3415379,322,Sint-Truidense VV,29,R Charleroi SC,1,2
2020,16,2020/12/13,13:30:00,3415372,1,R Antwerp FC,3,Club Brugge,0,2
2020,16,2020/12/13,18:15:00,3415373,7,KAA Gent,16,Standard Luik,2,1
2020,16,2020/12/13,20:45:00,3415376,25,KV Mechelen,1669,KVRS Waasland - SK Beveren,2,3
2020,16,2020/12/29,20:45:00,3415374,1792,KAS Eupen,2159,SV Zulte Waregem,2,3
2020,17,2020/12/18,20:45:00,3415385,29,R Charleroi SC,35,RSC Anderlecht,1,0
2020,17,2020/12/19,18:30:00,3415387,2159,SV Zulte Waregem,322,Sint-Truidense VV,0,2
2020,17,2020/12/19,20:45:00,3415382,290,KRC Genk,19,KV Kortrijk,2,0
2020,17,2020/12/20,13:30:00,3415381,3,Club Brugge,7,KAA Gent,0,1
2020,17,2020/12/20,16:00:00,3415384,2495,Oud-Heverlee Leuven,25,KV Mechelen,1,2
2020,17,2020/12/20,18:15:00,3415386,16,Standard Luik,216,Royal Excel Moeskroen (-2022),0,1
2020,17,2020/12/20,20:45:00,3415388,1669,KVRS Waasland - SK Beveren,1,R Antwerp FC,0,3
2020,17,2021/01/12,20:45:00,3415383,31,KV Oostende,1792,KAS Eupen,1,1
2020,17,2021/01/13,18:30:00,3415380,13,Beerschot V.A.,12,Cercle Brugge,1,1
2020,18,2020/12/15,18:45:00,3415389,12,Cercle Brugge,29,R Charleroi SC,3,4
2020,18,2020/12/15,18:45:00,3415394,216,Royal Excel Moeskroen (-2022),2495,Oud-Heverlee Leuven,2,2
2020,18,2020/12/15,21:00:00,3415395,35,RSC Anderlecht,31,KV Oostende,2,1
